BookVal,MinorBlem,MajorBlem,PowerSeller,IDSeller,Sealed,NegFeedback,ReservePriceFrac,NBidders,FinalPrice
22.5,0,0,1,0,0,0,0.256158696916812,6,18.6735706806283
24.5,0,0,1,0,0,0,0.235247782882787,6,16.2735706806283
14.95,0,0,1,0,0,0,0.929765886287625,2,14.45
18.5,0,0,1,0,0,0,0.311544361115042,2,8.43357068062828
9.5,1,0,1,0,0,0,1.05157894736842,3,15.03
17.95,0,0,1,0,0,0,0.556545961002786,2,15
10.5,0,0,1,0,0,0,0.951428571428571,3,12.58
9.5,0,0,1,0,0,0,0.841052631578947,2,10
21.95,0,0,0,0,0,0,0.913439635535308,0,NaN
9.5,0,0,1,0,0,0,0.841052631578947,4,16.85
12.5,0,0,1,0,0,0,0.4392,6,15.28
8.5,0,0,1,0,0,0,0.94,2,8.49
7.5,0,0,1,0,0,0,1.06533333333333,1,NaN
16.5,0,0,1,0,0,0,0.332727272727273,7,20.99
8.5,0,0,1,0,0,0,1.17529411764706,1,NaN
13.5,0,0,1,0,0,0,0.888148148148148,3,14.28
17.5,0,0,1,0,0,0,0.742285714285714,0,NaN
9.5,0,0,1,0,0,0,1.05157894736842,2,11.01
12.95,0,0,1,0,0,0,0.848648648648649,2,14.94
11.5,0,0,1,0,0,0,0.868695652173913,1,NaN
46.5,0,0,1,0,0,0,0.118064516129032,8,30
11.5,0,0,1,0,0,0,0.955652173913043,1,NaN
12.5,0,0,1,0,0,0,0.8792,0,NaN
39.5,0,0,1,0,0,0,0.145913181788058,4,28.6835706806283
8.5,0,0,1,0,0,0,0,1,8.99
11.5,0,0,1,0,0,0,0.781739130434783,1,NaN
8.5,0,0,1,0,0,0,0.94,1,NaN
17.95,0,0,1,0,0,0,0.723676880222841,0,NaN
8.5,0,0,1,0,0,0,0.94,1,NaN
11.5,0,0,1,0,0,0,0.738260869565217,0,NaN
10.5,0,0,1,0,0,0,0.856190476190476,1,NaN
10.5,0,0,1,0,0,0,0.951428571428571,1,NaN
27.5,0,1,1,0,0,0,0.217454545454545,4,19.5
14.95,0,0,1,0,0,0,0.868896321070234,3,14.06
9.5,0,0,1,0,0,0,1.05157894736842,2,11.51
43.5,0,0,0,0,0,0,0.569277486910995,4,43.7635706806283
27.5,0,0,0,0,0,1,0.279636363636364,7,40.46
16.5,0,0,0,0,1,0,0.878181818181818,3,16.01
22.5,0,0,1,0,0,0,0.577777777777778,1,NaN
17.5,1,0,0,0,0,0,0.951428571428571,1,NaN
16.5,0,0,0,0,1,0,0.878181818181818,3,16
34.5,1,0,0,0,0,0,0.721739130434783,4,28.4
9.5,0,0,0,0,0,0,1.20947368421053,1,NaN
99.5,0,0,0,0,0,0,0.170854271356784,6,75
15.95,0,0,0,0,0,0,0.595611285266458,2,10
59.5,0,0,0,0,0,0,0.159663865546218,6,39.51
99.5,0,0,1,0,0,0,0.251155778894472,10,74
9.5,0,0,0,0,0,0,1.10421052631579,0,NaN
22.5,0,0,1,0,0,0,0.256158696916812,4,16.2735706806283
18.5,0,0,0,0,0,0,0.872972972972973,0,NaN
24.5,0,0,0,0,0,0,0.398513089005236,3,17.2635706806283
19.95,0,0,0,0,0,0,0.726817042606516,1,NaN
39.5,0,0,0,0,0,0,1.08708860759494,1,NaN
22.5,0,0,0,0,0,0,0.662222222222222,3,21.45
39.5,0,0,1,0,0,0,0.175696202531646,7,36.95
34.5,1,0,0,0,0,0,0.201159420289855,4,40.72
59.5,1,0,1,0,0,0,0.116638655462185,3,61.96
175,1,0,1,0,0,0,0.0396571428571429,3,158.45
35.5,1,0,1,0,0,0,0.195492957746479,6,29.45
42.5,0,0,0,0,0,0,0.328,3,30.95
16.5,0,0,0,0,0,0,0.256969696969697,2,13
22.5,0,0,0,0,0,0,0.122222222222222,7,7.06
39.5,0,0,0,0,0,1,0.194683544303797,5,32.84
21.95,0,0,1,0,0,0,0.193166287015945,3,10.77
8.5,0,0,1,0,0,0,1.17529411764706,1,NaN
12.5,0,0,1,0,0,0,0.4392,3,11.36
